tts_system,pub_year,pub_month,date_basis,date_type,source_url,arxiv_id,paper_title,n_table4_labels,table4_labels,mlaad_model_names,eer_percent,notes
Spark-TTS,2025,2025-03,paper-arxiv,publication,https://arxiv.org/abs/2503.01710,2503.01710,Spark-TTS: An Efficient LLM-Based Text-to-Speech Model with Single-Stream Decoupled Speech Tokens,1,Spark TTS,Spark TTS,,
Supertonic,2025,2025-03,paper-arxiv,publication,https://arxiv.org/abs/2503.23108,2503.23108,SupertonicTTS: Towards Highly Efficient and Streamlined Text-to-Speech System,1,Supertonic,Supertonic,,
Chatterbox,2025,2025-04,github-created,release,https://github.com/resemble-ai/chatterbox,,,1,Chatterbox,Chatterbox,,
Nari-Dia,2025,2025-04,github-created,release,https://github.com/nari-labs/dia,,,2,Nari Dia-1.6B | Nari Dia2,Nari Dia-1.6B | Nari Dia2,,"repo covers Dia-1.6B; ""Nari Dia2"" label is a later model"
Resemble-AI,2025,2025-04,mlaad-label-date,announcement,https://www.resemble.ai/,,,1,"Resemble.ai (April 12th, 2025)","Resemble.ai (April 12th, 2025)",,"date embedded in Table IV label ""Resemble.ai (April 12th, 2025)"" = sample GENERATION date, not model introduction"
Gemini-TTS,2025,2025-05,product-announcement,announcement,https://ai.google.dev/gemini-api/docs/speech-generation,,,1,Gemini,Gemini,,Gemini 2.5 TTS preview at Google I/O May 2025; 2.5 update Dec 2025
MiniMax-Speech,2025,2025-05,paper-arxiv,publication,https://arxiv.org/abs/2505.07916,2505.07916,MiniMax-Speech: Intrinsic Zero-Shot Text-to-Speech with a Learnable Speaker Encoder,2,MiniMax-Speech | minimax/speech-02,MiniMax-Speech | speech-02,,shares paper with other 'MiniMax-Speech' variant(s); same publication date
OpenAudio-S1-Mini,2025,2025-05,hf-createdAt,release,https://huggingface.co/fishaudio/openaudio-s1-mini,,,1,Openaudio-S1-Mini,Openaudio-S1-Mini,,
VoiceCore,2025,2025-05,hf-createdAt,release,https://huggingface.co/webbigdata/VoiceCore,,,1,VoiceCore,VoiceCore,,
Ming-omni-tts,2025,2025-06,paper-arxiv,publication,https://arxiv.org/abs/2506.09344,2506.09344,Ming-Omni: A Unified Multimodal Model for Perception and Generation,1,Ming-omni-tts,Ming-omni-tts,,
Veena,2025,2025-06,hf-createdAt,release,https://huggingface.co/maya-research/Veena,,,1,Veena,Veena,,
ZipVoice,2025,2025-06,paper-arxiv,publication,https://arxiv.org/abs/2506.13053,2506.13053,ZipVoice: Fast and High-Quality Zero-Shot Text-to-Speech with Flow Matching,1,ZipVoice,ZipVoice,,
Higgs-Audio-V2,2025,2025-07,github-created,release,https://github.com/boson-ai/higgs-audio,,,1,Higgs-Audio-V2,Higgs-Audio-V2,,
Azzurra-Voice,2025,2025-08,hf-createdAt,release,https://huggingface.co/cartesia/azzurra-voice,,,1,Azzurra-Voice,Azzurra-Voice,,
Kitten-TTS,2025,2025-08,github-created,release,https://github.com/KittenML/KittenTTS,,,1,Kitten-TTS,Kitten-TTS,,
VibeVoice,2025,2025-08,paper-arxiv,publication,https://arxiv.org/abs/2508.19205,2508.19205,VibeVoice Technical Report,1,Microsoft VibeVoice,Microsoft VibeVoice,,
Kani-TTS,2025,2025-09,github-created,release,https://github.com/nineninesix-ai/kani-tts,,,1,Kani-TTS,Kani-TTS,,
Kyutai-TTS,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.08753,2509.08753,Streaming Sequence-to-Sequence Learning with Delayed Streams Modeling,1,Kyutai-TTS,Kyutai-TTS,,
NeuTTS,2025,2025-09,hf-createdAt,release,https://huggingface.co/neuphonic/neutts-air,,,2,NeuTTS | NeuTTS-Air,NeuTTS | NeuTTS-Air,,HF neutts-air repo; covers both NeuTTS and NeuTTS-Air labels
PocketTTS,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.06926,2509.06926,Continuous Audio Language Models,1,PocketTTS,PocketTTS,,
Qwen3-Omni,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.17765,2509.17765,Qwen3-Omni Technical Report,1,Qwen3-Omni,Qwen3-Omni,,
VoXtream,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.15969,2509.15969,VoXtream: Full-Stream Text-to-Speech with Extremely Low Latency,2,VoXtream | Voxtream,VoXtream | Voxtream,,shares paper with other 'VoXtream' variant(s); same publication date
VoxCPM,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.24650,2509.24650,VoxCPM: Tokenizer-Free TTS for Context-Aware Speech Generation and True-to-Life Voice Cloning,2,VoxCPM | VoxCPM-1.5,VoxCPM | VoxCPM-1.5,,shares paper with other 'VoxCPM' variant(s); same publication date
Cartesia-Sonic,2025,2025-10,product-announcement,announcement,https://www.cartesia.ai/sonic,,,1,Cartesia.ai (Sonic-3),Cartesia.ai (Sonic-3),,Sonic-3 released ~Oct 2025
Maya1-TTS,2025,2025-10,hf-createdAt,release,https://huggingface.co/maya-research/maya1,,,1,Maya1 TTS,Maya1 TTS,,
SoulX-Podcast,2025,2025-10,paper-arxiv,publication,https://arxiv.org/abs/2510.23541,2510.23541,SoulX-Podcast: Towards Realistic Long-form Podcasts with Dialectal and Paralinguistic Diversity,1,SoulX-Podcast,SoulX-Podcast,,
SvaraTTS,2025,2025-10,hf-createdAt,release,https://huggingface.co/kenpath/svara-tts-v1,,,1,SvaraTTS v1,SvaraTTS v1,,
VieNeu-TTS,2025,2025-10,github-created,release,https://github.com/pnnbao97/VieNeu-TTS,,,1,VieNeu-TTS,VieNeu-TTS,,
CaroTTS,2025,2025-11,hf-createdAt,release,https://huggingface.co/Warholt/CaroTTS-60M-DE-Caro,,,1,CaroTTS,CaroTTS,,INDEX year=2024 but HF repo created 2025-11; date reflects HF upload
Ringg-Squirrel-TTS,2025,2025-11,hf-space-createdAt,release,https://huggingface.co/spaces/RinggAI/Ringg-TTS-v1.0,,,1,Ringg Squirrel TTS,Ringg Squirrel TTS,,HF Space (demo) creation date; no weights repo
SopranoTTS,2025,2025-11,github-created,release,https://github.com/ekwek1/soprano,,,2,Soprano11 | SopranoTTS,Soprano11 | SopranoTTS,,"repo created 2025-11; the Soprano-1.1 checkpoint (""Soprano11"") released ~2026-01"
Step-Audio-EditX,2025,2025-11,paper-arxiv,publication,https://arxiv.org/abs/2511.03601,2511.03601,Step-Audio-EditX Technical Report,1,Step-Audio-EditX,Step-Audio-EditX,,
GLM-TTS,2025,2025-12,paper-arxiv,publication,https://arxiv.org/abs/2512.14291,2512.14291,GLM-TTS Technical Report,1,GLM-TTS,GLM-TTS,,
LFM2.5-Audio,2025,2025-12,hf-createdAt,release,https://huggingface.co/LiquidAI/LFM2.5-Audio-1.5B,,,1,LFM2.5-Audio,LFM2.5-Audio,,
Magpie-TTS,2025,2025-12,hf-createdAt,release,https://huggingface.co/nvidia/magpie_tts_multilingual_357m,,,1,NVidia Magpie-TTS,NVidia Magpie-TTS,,
MiraTTS,2025,2025-12,hf-createdAt,release,https://huggingface.co/YatharthS/MiraTTS,,,1,MiraTTS,MiraTTS,,
KugelAudio,2026,2026-01,hf-createdAt,release,https://huggingface.co/kugelaudio/kugelaudio-0-open,,,1,KugelAudio,KugelAudio,,
LuxTTS,2026,2026-01,github-created,release,https://github.com/ysharma3501/LuxTTS,,,1,LuxTTS,LuxTTS,,English ZipVoice-derived voice-clone model; see METHODOLOGY naming note
TADA,2026,2026-02,paper-arxiv,publication,https://arxiv.org/abs/2602.23068,2602.23068,TADA: A Generative Framework for Speech Modeling via Text-Acoustic Dual Alignment,1,TADA,TADA,,
LongCat-AudioDiT,2026,2026-03,paper-arxiv,publication,https://arxiv.org/abs/2603.29339,2603.29339,LongCat-AudioDiT: High-Fidelity Diffusion Text-to-Speech in the Waveform Latent Space,1,LongCat-AudioDiT,LongCat-AudioDiT,,
MOSS-TTS,2026,2026-03,paper-arxiv,publication,https://arxiv.org/abs/2603.18090,2603.18090,MOSS-TTS Technical Report,1,MOSS-TTS,MOSS-TTS,,
OmniVoice,2026,2026-04,paper-arxiv,publication,https://arxiv.org/abs/2604.00688,2604.00688,OmniVoice: Towards Omnilingual Zero-Shot Text-to-Speech with Diffusion Language Models,1,OmniVoice,OmniVoice,,
Raon-OpenTTS,2026,2026-05,paper-arxiv,publication,https://arxiv.org/abs/2605.20830,2605.20830,Raon-OpenTTS: Open Models and Data for Robust Text-to-Speech,1,Raon-OpenTTS,Raon-OpenTTS,,
