table4_label,mlaad_model_name,canonical_name,pub_year,pub_month,date_basis,date_type,source_url,arxiv_id,paper_title,eer_percent,notes
SpeechT5,SpeechT5,SpeechT5,2021,2021-10,paper-arxiv,publication,https://arxiv.org/abs/2110.07205,2110.07205,SpeechT5: Unified-Modal Encoder-Decoder Pre-Training for Spoken Language Processing,,
Overflow,Overflow,Overflow,2022,2022-11,paper-arxiv,publication,https://arxiv.org/abs/2211.06892,2211.06892,OverFlow: Putting flows on top of neural transducers for better TTS,,
ElevenLabs,ElevenLabs,ElevenLabs,2023,2023-01,product-announcement,announcement,https://elevenlabs.io,,,,ElevenLabs beta launched 23 Jan 2023; generic vendor label
WhisperSpeech,WhisperSpeech,WhisperSpeech,2023,2023-02,github-created,release,https://github.com/WhisperSpeech/WhisperSpeech,,,,INDEX year=2024 but GitHub repo created 2023-02; introduced 2023
RVC,RVC,RVC,2023,2023-03,github-created,release,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,,,,"voice-conversion, not TTS; repo created 2023-03 (first release 2024-06)"
Bark,Bark,Bark,2023,2023-04,github-created,release,https://github.com/suno-ai/bark,,,,
Jenny,Jenny,Jenny,2023,2023-05,coqui-release,release,https://github.com/coqui-ai/TTS/blob/dev/TTS/.models.json,,,,"Coqui TTS v0.14.0, where the Jenny VITS checkpoint shipped"
Tortoise,Tortoise,Tortoise,2023,2023-05,paper-arxiv,publication,https://arxiv.org/abs/2305.07243,2305.07243,Better speech synthesis through scaling,,
VITS-MMS,VITS-MMS,VITS-MMS,2023,2023-05,paper-arxiv,publication,https://arxiv.org/abs/2305.13516,2305.13516,"Scaling Speech Technology to 1,000+ Languages",,
StyleTTS 2,StyleTTS 2,StyleTTS2,2023,2023-06,paper-arxiv,publication,https://arxiv.org/abs/2306.07691,2306.07691,StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,,
VITS2,VITS2,VITS2,2023,2023-07,paper-arxiv,publication,https://arxiv.org/abs/2307.16430,2307.16430,VITS2: Improving Quality and Efficiency of Single-Stage Text-to-Speech with Adversarial Learning and Architecture Design,,
MatchaTTS,MatchaTTS,MatchaTTS,2023,2023-09,paper-arxiv,publication,https://arxiv.org/abs/2309.03199,2309.03199,Matcha-TTS: A Fast TTS Architecture with Conditional Flow Matching,,
OpenAI TTS-1 HD,OpenAI TTS-1 HD,OpenAI-TTS-1-HD,2023,2023-11,product-announcement,announcement,https://platform.openai.com/docs/models/tts-1-hd,,,,"announced at OpenAI DevDay, Nov 2023"
OpenVoiceV2,OpenVoiceV2,OpenVoiceV2,2023,2023-12,paper-arxiv,publication,https://arxiv.org/abs/2312.01479,2312.01479,OpenVoice: Versatile Instant Voice Cloning,,
MeloTTS,MeloTTS,MeloTTS,2024,2024-02,github-created,release,https://github.com/myshell-ai/MeloTTS,,,,
Metavoice-1B,Metavoice-1B,Metavoice-1B,2024,2024-02,github-created,release,https://github.com/metavoiceio/metavoice-src,,,,
Parler TTS,Parler TTS,Parler-TTS,2024,2024-02,paper-arxiv,publication,https://arxiv.org/abs/2402.01912,2402.01912,Natural language guidance of high-fidelity text-to-speech with synthetic annotations,,
DeepGram,DeepGram,DeepGram,2024,2024-03,product-announcement,announcement,https://deepgram.com/product/text-to-speech,,,,Aura TTS announced 12 Mar 2024
VixTTS,VixTTS,VixTTS,2024,2024-04,hf-createdAt,release,https://huggingface.co/capleaf/viXTTS,,,,
ChatTTS,ChatTTS,ChatTTS,2024,2024-05,github-created,release,https://github.com/2noise/ChatTTS,,,,
Indri-TTS-0.1,Indri-TTS-0.1,Indri-TTS,2024,2024-05,github-created,release,https://github.com/cmeraki/indri,,,,
E2 TTS,E2 TTS,E2-TTS,2024,2024-06,paper-arxiv,publication,https://arxiv.org/abs/2406.18009,2406.18009,E2 TTS: Embarrassingly Easy Fully Non-Autoregressive Zero-Shot TTS,,
Mars5,Mars5,Mars5,2024,2024-06,github-created,release,https://github.com/Camb-ai/MARS5-TTS,,,,
XTTS v1.1,XTTS v1.1,XTTS,2024,2024-06,paper-arxiv,publication,https://arxiv.org/abs/2406.04904,2406.04904,XTTS: a Massively Multilingual Zero-Shot Text-to-Speech Model,,shares paper with other 'XTTS' variant(s); same publication date
XTTS v2,XTTS v2,XTTS,2024,2024-06,paper-arxiv,publication,https://arxiv.org/abs/2406.04904,2406.04904,XTTS: a Massively Multilingual Zero-Shot Text-to-Speech Model,,shares paper with other 'XTTS' variant(s); same publication date
Optispeech,Optispeech,Optispeech,2024,2024-07,github-created,release,https://github.com/mush42/optispeech,,,,
FireRedTTS,FireRedTTS,FireRedTTS,2024,2024-09,paper-arxiv,publication,https://arxiv.org/abs/2409.03283,2409.03283,FireRedTTS: A Foundation Text-To-Speech Framework for Industry-Level Generative Speech Applications,,
F5 TTS,F5 TTS,F5-TTS,2024,2024-10,paper-arxiv,publication,https://arxiv.org/abs/2410.06885,2410.06885,F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching,,shares paper with other 'F5-TTS' variant(s); same publication date
F5-TTS,F5-TTS,F5-TTS,2024,2024-10,paper-arxiv,publication,https://arxiv.org/abs/2410.06885,2410.06885,F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching,,shares paper with other 'F5-TTS' variant(s); same publication date
Dual-AR,Dual-AR,Dual-AR,2024,2024-11,paper-arxiv,publication,https://arxiv.org/abs/2411.01156,2411.01156,Fish-Speech: Leveraging Large Language Models for Advanced Multilingual Text-to-Speech Synthesis,,
FishTTS,FishTTS,FishTTS,2024,2024-11,paper-arxiv,publication,https://arxiv.org/abs/2411.01156,2411.01156,Fish-Speech: Leveraging Large Language Models for Advanced Multilingual Text-to-Speech Synthesis,,
OuteTTS,OuteTTS,OuteTTS,2024,2024-11,github-created,release,https://github.com/edwko/OuteTTS,,,,
Kokoro,Kokoro,Kokoro,2024,2024-12,hf-createdAt,release,https://huggingface.co/hexgrad/Kokoro-82M,,,,
YarnGPT,YarnGPT,YarnGPT,2024,2024-12,hf-createdAt,release,https://huggingface.co/saheedniyi/YarnGPT,,,,
MiniCPM-o-2.6,MiniCPM-o-2.6,MiniCPM-o-2.6,2025,2025-01,hf-createdAt,release,https://huggingface.co/openbmb/MiniCPM-o-2_6,,,,
Index-TTS,Index-TTS,Index-TTS,2025,2025-02,paper-arxiv,publication,https://arxiv.org/abs/2502.05512,2502.05512,IndexTTS: An Industrial-Level Controllable and Efficient Zero-Shot Text-To-Speech System,,
Llasa,Llasa,Llasa,2025,2025-02,paper-arxiv,publication,https://arxiv.org/abs/2502.04128,2502.04128,Llasa: Scaling Train-Time and Inference-Time Compute for Llama-based Speech Synthesis,,
MegaTTS3,MegaTTS3,MegaTTS3,2025,2025-02,paper-arxiv,publication,https://arxiv.org/abs/2502.18924,2502.18924,MegaTTS 3: Sparse Alignment Enhanced Latent Diffusion Transformer for Zero-Shot Speech Synthesis,,
ZonosTTS v0.1,ZonosTTS v0.1,Zonos,2025,2025-02,github-created,release,https://github.com/Zyphra/Zonos,,,,
IndicF5,IndicF5,IndicF5,2025,2025-03,hf-createdAt,release,https://huggingface.co/ai4bharat/IndicF5,,,,
Orpheus TTS v0.1,Orpheus TTS v0.1,Orpheus-TTS,2025,2025-03,github-created,release,https://github.com/canopyai/Orpheus-TTS,,,,
Qwen2.5-Omni,Qwen2.5-Omni,Qwen2.5-Omni,2025,2025-03,paper-arxiv,publication,https://arxiv.org/abs/2503.20215,2503.20215,Qwen2.5-Omni Technical Report,,
Sesame CSM 1B,Sesame CSM 1B,Sesame-CSM-1B,2025,2025-03,hf-createdAt,release,https://www.sesame.com/research/crossing_the_uncanny_valley_of_voice,,,,
Sesame CSM-1B,Sesame CSM-1B,Sesame-CSM-1B,2025,2025-03,hf-createdAt,release,https://www.sesame.com/research/crossing_the_uncanny_valley_of_voice,,,,
Spark TTS,Spark TTS,Spark-TTS,2025,2025-03,paper-arxiv,publication,https://arxiv.org/abs/2503.01710,2503.01710,Spark-TTS: An Efficient LLM-Based Text-to-Speech Model with Single-Stream Decoupled Speech Tokens,,
Supertonic,Supertonic,Supertonic,2025,2025-03,paper-arxiv,publication,https://arxiv.org/abs/2503.23108,2503.23108,SupertonicTTS: Towards Highly Efficient and Streamlined Text-to-Speech System,,
Chatterbox,Chatterbox,Chatterbox,2025,2025-04,github-created,release,https://github.com/resemble-ai/chatterbox,,,,
Nari Dia-1.6B,Nari Dia-1.6B,Nari-Dia,2025,2025-04,github-created,release,https://github.com/nari-labs/dia,,,,"repo covers Dia-1.6B; ""Nari Dia2"" label is a later model"
Nari Dia2,Nari Dia2,Nari-Dia,2025,2025-04,github-created,release,https://github.com/nari-labs/dia,,,,"repo covers Dia-1.6B; ""Nari Dia2"" label is a later model"
"Resemble.ai (April 12th, 2025)","Resemble.ai (April 12th, 2025)",Resemble-AI,2025,2025-04,mlaad-label-date,announcement,https://www.resemble.ai/,,,,"date embedded in Table IV label ""Resemble.ai (April 12th, 2025)"" = sample GENERATION date, not model introduction"
Gemini,Gemini,Gemini-TTS,2025,2025-05,product-announcement,announcement,https://ai.google.dev/gemini-api/docs/speech-generation,,,,Gemini 2.5 TTS preview at Google I/O May 2025; 2.5 update Dec 2025
MiniMax-Speech,MiniMax-Speech,MiniMax-Speech,2025,2025-05,paper-arxiv,publication,https://arxiv.org/abs/2505.07916,2505.07916,MiniMax-Speech: Intrinsic Zero-Shot Text-to-Speech with a Learnable Speaker Encoder,,shares paper with other 'MiniMax-Speech' variant(s); same publication date
minimax/speech-02,speech-02,MiniMax-Speech,2025,2025-05,paper-arxiv,publication,https://arxiv.org/abs/2505.07916,2505.07916,MiniMax-Speech: Intrinsic Zero-Shot Text-to-Speech with a Learnable Speaker Encoder,,shares paper with other 'MiniMax-Speech' variant(s); same publication date
Openaudio-S1-Mini,Openaudio-S1-Mini,OpenAudio-S1-Mini,2025,2025-05,hf-createdAt,release,https://huggingface.co/fishaudio/openaudio-s1-mini,,,,
VoiceCore,VoiceCore,VoiceCore,2025,2025-05,hf-createdAt,release,https://huggingface.co/webbigdata/VoiceCore,,,,
Ming-omni-tts,Ming-omni-tts,Ming-omni-tts,2025,2025-06,paper-arxiv,publication,https://arxiv.org/abs/2506.09344,2506.09344,Ming-Omni: A Unified Multimodal Model for Perception and Generation,,
Veena,Veena,Veena,2025,2025-06,hf-createdAt,release,https://huggingface.co/maya-research/Veena,,,,
ZipVoice,ZipVoice,ZipVoice,2025,2025-06,paper-arxiv,publication,https://arxiv.org/abs/2506.13053,2506.13053,ZipVoice: Fast and High-Quality Zero-Shot Text-to-Speech with Flow Matching,,
Higgs-Audio-V2,Higgs-Audio-V2,Higgs-Audio-V2,2025,2025-07,github-created,release,https://github.com/boson-ai/higgs-audio,,,,
Voxtral,Voxtral,Voxtral,2025,2025-07,paper-arxiv,publication,https://arxiv.org/abs/2507.13264,2507.13264,Voxtral,,
Azzurra-Voice,Azzurra-Voice,Azzurra-Voice,2025,2025-08,hf-createdAt,release,https://huggingface.co/cartesia/azzurra-voice,,,,
Kitten-TTS,Kitten-TTS,Kitten-TTS,2025,2025-08,github-created,release,https://github.com/KittenML/KittenTTS,,,,
Microsoft VibeVoice,Microsoft VibeVoice,VibeVoice,2025,2025-08,paper-arxiv,publication,https://arxiv.org/abs/2508.19205,2508.19205,VibeVoice Technical Report,,
Kani-TTS,Kani-TTS,Kani-TTS,2025,2025-09,github-created,release,https://github.com/nineninesix-ai/kani-tts,,,,
Kyutai-TTS,Kyutai-TTS,Kyutai-TTS,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.08753,2509.08753,Streaming Sequence-to-Sequence Learning with Delayed Streams Modeling,,
NeuTTS,NeuTTS,NeuTTS,2025,2025-09,hf-createdAt,release,https://huggingface.co/neuphonic/neutts-air,,,,HF neutts-air repo; covers both NeuTTS and NeuTTS-Air labels
NeuTTS-Air,NeuTTS-Air,NeuTTS,2025,2025-09,hf-createdAt,release,https://huggingface.co/neuphonic/neutts-air,,,,HF neutts-air repo; covers both NeuTTS and NeuTTS-Air labels
PocketTTS,PocketTTS,PocketTTS,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.06926,2509.06926,Continuous Audio Language Models,,
Qwen3-Omni,Qwen3-Omni,Qwen3-Omni,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.17765,2509.17765,Qwen3-Omni Technical Report,,
VoxCPM,VoxCPM,VoxCPM,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.24650,2509.24650,VoxCPM: Tokenizer-Free TTS for Context-Aware Speech Generation and True-to-Life Voice Cloning,,shares paper with other 'VoxCPM' variant(s); same publication date
VoxCPM-1.5,VoxCPM-1.5,VoxCPM,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.24650,2509.24650,VoxCPM: Tokenizer-Free TTS for Context-Aware Speech Generation and True-to-Life Voice Cloning,,shares paper with other 'VoxCPM' variant(s); same publication date
VoXtream,VoXtream,VoXtream,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.15969,2509.15969,VoXtream: Full-Stream Text-to-Speech with Extremely Low Latency,,shares paper with other 'VoXtream' variant(s); same publication date
Voxtream,Voxtream,VoXtream,2025,2025-09,paper-arxiv,publication,https://arxiv.org/abs/2509.15969,2509.15969,VoXtream: Full-Stream Text-to-Speech with Extremely Low Latency,,shares paper with other 'VoXtream' variant(s); same publication date
Cartesia.ai (Sonic-3),Cartesia.ai (Sonic-3),Cartesia-Sonic,2025,2025-10,product-announcement,announcement,https://www.cartesia.ai/sonic,,,,Sonic-3 released ~Oct 2025
Maya1 TTS,Maya1 TTS,Maya1-TTS,2025,2025-10,hf-createdAt,release,https://huggingface.co/maya-research/maya1,,,,
SoulX-Podcast,SoulX-Podcast,SoulX-Podcast,2025,2025-10,paper-arxiv,publication,https://arxiv.org/abs/2510.23541,2510.23541,SoulX-Podcast: Towards Realistic Long-form Podcasts with Dialectal and Paralinguistic Diversity,,
SvaraTTS v1,SvaraTTS v1,SvaraTTS,2025,2025-10,hf-createdAt,release,https://huggingface.co/kenpath/svara-tts-v1,,,,
VieNeu-TTS,VieNeu-TTS,VieNeu-TTS,2025,2025-10,github-created,release,https://github.com/pnnbao97/VieNeu-TTS,,,,
CaroTTS,CaroTTS,CaroTTS,2025,2025-11,hf-createdAt,release,https://huggingface.co/Warholt/CaroTTS-60M-DE-Caro,,,,INDEX year=2024 but HF repo created 2025-11; date reflects HF upload
Ringg Squirrel TTS,Ringg Squirrel TTS,Ringg-Squirrel-TTS,2025,2025-11,hf-space-createdAt,release,https://huggingface.co/spaces/RinggAI/Ringg-TTS-v1.0,,,,HF Space (demo) creation date; no weights repo
Soprano11,Soprano11,SopranoTTS,2025,2025-11,github-created,release,https://github.com/ekwek1/soprano,,,,"repo created 2025-11; the Soprano-1.1 checkpoint (""Soprano11"") released ~2026-01"
SopranoTTS,SopranoTTS,SopranoTTS,2025,2025-11,github-created,release,https://github.com/ekwek1/soprano,,,,"repo created 2025-11; the Soprano-1.1 checkpoint (""Soprano11"") released ~2026-01"
Step-Audio-EditX,Step-Audio-EditX,Step-Audio-EditX,2025,2025-11,paper-arxiv,publication,https://arxiv.org/abs/2511.03601,2511.03601,Step-Audio-EditX Technical Report,,
GLM-TTS,GLM-TTS,GLM-TTS,2025,2025-12,paper-arxiv,publication,https://arxiv.org/abs/2512.14291,2512.14291,GLM-TTS Technical Report,,
LFM2.5-Audio,LFM2.5-Audio,LFM2.5-Audio,2025,2025-12,hf-createdAt,release,https://huggingface.co/LiquidAI/LFM2.5-Audio-1.5B,,,,
NVidia Magpie-TTS,NVidia Magpie-TTS,Magpie-TTS,2025,2025-12,hf-createdAt,release,https://huggingface.co/nvidia/magpie_tts_multilingual_357m,,,,
MiraTTS,MiraTTS,MiraTTS,2025,2025-12,hf-createdAt,release,https://huggingface.co/YatharthS/MiraTTS,,,,
KugelAudio,KugelAudio,KugelAudio,2026,2026-01,hf-createdAt,release,https://huggingface.co/kugelaudio/kugelaudio-0-open,,,,
LuxTTS,LuxTTS,LuxTTS,2026,2026-01,github-created,release,https://github.com/ysharma3501/LuxTTS,,,,English ZipVoice-derived voice-clone model; see METHODOLOGY naming note
TADA,TADA,TADA,2026,2026-02,paper-arxiv,publication,https://arxiv.org/abs/2602.23068,2602.23068,TADA: A Generative Framework for Speech Modeling via Text-Acoustic Dual Alignment,,
LongCat-AudioDiT,LongCat-AudioDiT,LongCat-AudioDiT,2026,2026-03,paper-arxiv,publication,https://arxiv.org/abs/2603.29339,2603.29339,LongCat-AudioDiT: High-Fidelity Diffusion Text-to-Speech in the Waveform Latent Space,,
MOSS-TTS,MOSS-TTS,MOSS-TTS,2026,2026-03,paper-arxiv,publication,https://arxiv.org/abs/2603.18090,2603.18090,MOSS-TTS Technical Report,,
OmniVoice,OmniVoice,OmniVoice,2026,2026-04,paper-arxiv,publication,https://arxiv.org/abs/2604.00688,2604.00688,OmniVoice: Towards Omnilingual Zero-Shot Text-to-Speech with Diffusion Language Models,,
Raon-OpenTTS,Raon-OpenTTS,Raon-OpenTTS,2026,2026-05,paper-arxiv,publication,https://arxiv.org/abs/2605.20830,2605.20830,Raon-OpenTTS: Open Models and Data for Robust Text-to-Speech,,
